DP,DPNOM,Código Municipio,MPIO,AÑO,ÁREA GEOGRÁFICA,Pobl
15,Boyacá,15051,Arcabuco,2022,Total,"6,060"
15,Boyacá,15087,Belén,2022,Total,"7,633"
15,Boyacá,15090,Berbeo,2022,Total,"1,603"
15,Boyacá,15092,Betéitiva,2022,Total,"1,961"
15,Boyacá,15097,Boavita,2022,Total,"4,862"
15,Boyacá,15104,Boyacá,2022,Total,"5,187"
15,Boyacá,15106,Briceño,2022,Total,"2,192"
15,Boyacá,15109,Buenavista,2022,Total,"4,455"
15,Boyacá,15114,Busbanzá,2022,Total,"1,169"
15,Boyacá,15131,Caldas,2022,Total,"3,168"
15,Boyacá,15135,Campohermoso,2022,Total,"3,102"
15,Boyacá,15162,Cerinza,2022,Total,"3,756"
15,Boyacá,15172,Chinavita,2022,Total,"3,237"
15,Boyacá,15176,Chiquinquirá,2022,Total,"58,726"
15,Boyacá,15180,Chiscas,2022,Total,"3,939"
15,Boyacá,15183,Chita,2022,Total,"7,898"
15,Boyacá,15185,Chitaraque,2022,Total,"5,944"
15,Boyacá,15187,Chivatá,2022,Total,"2,872"
15,Boyacá,15189,Ciénega,2022,Total,"4,718"
15,Boyacá,15204,Cómbita,2022,Total,"13,461"
15,Boyacá,15212,Coper,2022,Total,"3,619"
15,Boyacá,15215,Corrales,2022,Total,"2,579"
15,Boyacá,15218,Covarachía,2022,Total,"2,738"
15,Boyacá,15223,Cubará,2022,Total,"10,897"
15,Boyacá,15224,Cucaita,2022,Total,"3,838"
15,Boyacá,15226,Cuítiva,2022,Total,"1,834"
15,Boyacá,15232,Chíquiza,2022,Total,"4,808"
15,Boyacá,15236,Chivor,2022,Total,"2,560"
15,Boyacá,15238,Duitama,2022,Total,"128,400"
15,Boyacá,15244,El Cocuy,2022,Total,"4,170"
15,Boyacá,15248,El Espino,2022,Total,"3,095"
15,Boyacá,15272,Firavitoba,2022,Total,"6,895"
15,Boyacá,15276,Floresta,2022,Total,"3,274"
15,Boyacá,15293,Gachantivá,2022,Total,"2,815"
15,Boyacá,15296,Gámeza,2022,Total,"4,916"
15,Boyacá,15299,Garagoa,2022,Total,"18,572"
15,Boyacá,15317,Guacamayas,2022,Total,"1,859"
15,Boyacá,15322,Guateque,2022,Total,"11,051"
15,Boyacá,15325,Guayatá,2022,Total,"3,437"
15,Boyacá,15332,Güicán de La Sierra,2022,Total,"4,359"
15,Boyacá,15362,Iza,2022,Total,"2,022"
15,Boyacá,15367,Jenesano,2022,Total,"7,437"
15,Boyacá,15368,Jericó,2022,Total,"3,941"
15,Boyacá,15377,Labranzagrande,2022,Total,"3,540"
15,Boyacá,15380,La Capilla,2022,Total,"2,727"
15,Boyacá,15401,La Victoria,2022,Total,"1,132"
15,Boyacá,15403,La Uvita,2022,Total,"2,767"
15,Boyacá,15407,Villa de Leyva,2022,Total,"17,205"
15,Boyacá,15425,Macanal,2022,Total,"5,140"
15,Boyacá,15442,Maripí,2022,Total,"5,759"
15,Boyacá,15455,Miraflores,2022,Total,"9,136"
15,Boyacá,15464,Mongua,2022,Total,"4,681"
15,Boyacá,15466,Monguí,2022,Total,"4,350"
15,Boyacá,15469,Moniquirá,2022,Total,"23,346"
15,Boyacá,15476,Motavita,2022,Total,"5,781"
15,Boyacá,15480,Muzo,2022,Total,"8,507"
15,Boyacá,15491,Nobsa,2022,Total,"16,671"
15,Boyacá,15494,Nuevo Colón,2022,Total,"5,287"
15,Boyacá,15500,Oicatá,2022,Total,"2,929"
15,Boyacá,15507,Otanche,2022,Total,"8,112"
15,Boyacá,15511,Pachavita,2022,Total,"2,474"
15,Boyacá,15514,Páez,2022,Total,"3,288"
15,Boyacá,15516,Paipa,2022,Total,"35,153"
15,Boyacá,15518,Pajarito,2022,Total,"2,446"
15,Boyacá,15522,Panqueba,2022,Total,"1,720"
15,Boyacá,15531,Pauna,2022,Total,"7,309"
15,Boyacá,15533,Paya,2022,Total,"2,670"
15,Boyacá,15537,Paz de Río,2022,Total,"4,254"
15,Boyacá,15542,Pesca,2022,Total,"6,821"
15,Boyacá,15550,Pisba,2022,Total,"1,817"
15,Boyacá,15572,Puerto Boyacá,2022,Total,"48,930"
15,Boyacá,15580,Quípama,2022,Total,"5,049"
15,Boyacá,15599,Ramiriquí,2022,Total,"10,212"
15,Boyacá,15600,Ráquira,2022,Total,"8,136"
15,Boyacá,15621,Rondón,2022,Total,"2,405"
15,Boyacá,15632,Saboyá,2022,Total,"14,035"
15,Boyacá,15638,Sáchica,2022,Total,"5,755"
15,Boyacá,15646,Samacá,2022,Total,"19,075"
15,Boyacá,15660,San Eduardo,2022,Total,"1,682"
15,Boyacá,15664,San José de Pare,2022,Total,"5,066"
15,Boyacá,15667,San Luis de Gaceno,2022,Total,"5,547"
15,Boyacá,15673,San Mateo,2022,Total,"3,173"
15,Boyacá,15676,San Miguel de Sema,2022,Total,"3,052"
15,Boyacá,15681,San Pablo de Borbur,2022,Total,"6,806"
15,Boyacá,15686,Santana,2022,Total,"7,814"
15,Boyacá,15690,Santa María,2022,Total,"3,545"
15,Boyacá,15693,Santa Rosa de Viterbo,2022,Total,"13,504"
15,Boyacá,15696,Santa Sofía,2022,Total,"3,255"
15,Boyacá,15720,Sativanorte,2022,Total,"2,182"
15,Boyacá,15723,Sativasur,2022,Total,"1,120"
15,Boyacá,15740,Siachoque,2022,Total,"6,865"
15,Boyacá,15753,Soatá,2022,Total,"8,951"
15,Boyacá,15755,Socotá,2022,Total,"7,308"
15,Boyacá,15757,Socha,2022,Total,"8,195"
15,Boyacá,15759,Sogamoso,2022,Total,"132,895"
15,Boyacá,15761,Somondoco,2022,Total,"2,919"
15,Boyacá,15762,Sora,2022,Total,"3,118"
15,Boyacá,15763,Sotaquirá,2022,Total,"8,417"
15,Boyacá,15764,Soracá,2022,Total,"6,150"
15,Boyacá,15774,Susacón,2022,Total,"2,740"
15,Boyacá,15776,Sutamarchán,2022,Total,"6,313"
15,Boyacá,15778,Sutatenza,2022,Total,"4,279"
15,Boyacá,15790,Tasco,2022,Total,"5,870"
15,Boyacá,15798,Tenza,2022,Total,"3,872"
15,Boyacá,15804,Tibaná,2022,Total,"9,242"
15,Boyacá,15806,Tibasosa,2022,Total,"13,579"
15,Boyacá,15808,Tinjacá,2022,Total,"3,397"
